администрация:  администрация
обязанность:  обязанность
обеспечение:  обеспечение
совместно:  совместно
она:  она
трудозатрата:  трудозатрата
контролировать:  контролировать
экономия:  экономия
процесс:  процесс
компания:  компания
сократить:  сократить
использовать:  использовать
добиться:  добиться
помочь:  помочь
облако:  облако
ряд:  ряд
посещение:  посещение
режим:  режим
разработка:  разработка
использование:  использование
рассмотреть:  рассмотреть
достояние:  достояние
внедрять:  внедрять
законодательство:  законодательство
повышать:  повышать
страница:  страница
внедрить:  внедрить
орган:  орган
отдел:  отдел
сегмент:  сегмент
сервис:  сервис
способствовать:  способствовать
узнать:  узнать
находить:  находить
автоматизация:  автоматизация
попытка:  попытка
соответствовать:  соответствовать
издержка:  издержка
запрос:  запрос
прекратить:  прекратить
соблюдение:  соблюдение
продукт:  продукт
направление:  направление
анализировать:  анализировать
эксплуатация:  эксплуатация
действовать:  действовать
политика:  политика
игнат:  игнат
совокупность:  совокупность
метрика:  метрика
оператор:  оператор
версия:  версия
поставка:  поставка
возникать:  возникать
инструмент:  инструмент
остаться:  остаться
поведение:  поведение
дефект:  дефект
принимать:  принимать
спор:  спор
постановка:  постановка
настройка:  настройка
нести:  нести
экспресс:  экспресс
связь:  связь
имя:  имя
среда:  среда
совершать:  совершать
не:  не
дать:  дать
счёт:  счёт
провести:  провести
конфигурация:  конфигурация
информировать:  информировать
отвлекать:  отвлекать
получить:  получить
изолировать:  изолировать
день:  день
создание:  создание
количество:  количество
касаться:  касаться
исключительно:  исключительно
защитить:  защитить
результат:  результат
соглашение:  соглашение
зависеть:  зависеть
внедрение:  внедрение
право:  право
курс:  курс
методология:  методология
рассмотрение:  рассмотрение
ответственность:  ответственность
яндекс:  яндекс
интеграция:  интеграция
доступно:  доступно
действие:  действие
организация:  организация
разрешить:  разрешить
мониторинг:  мониторинг
алексей:  алексей
команда:  команда
мы:  мы
операция:  операция
аудит:  аудит
обучать:  обучать
разглашение:  разглашение
веб-сервер:  веб-сервер
город:  город
сбой:  сбой
развёртываться:  развёртываться
функционал:  функционал
пик:  пик
писать:  писать
понести:  понести
раз:  раз
вопрос:  вопрос
полностью:  полностью
улучшить:  улучшить
нет:  нет
