поставщик:  поставщик
карточка:  карточка
купить:  купить
несколько:  несколько
ведомость:  ведомость
склад:  склад
срок:  срок
наличие:  наличие
фотография:  фотография
должность:  должность
визуализация:  визуализация
выдача:  выдача
потребность:  потребность
привязка:  привязка
учёт:  учёт
свидетельство:  свидетельство
начать:  начать
быстрый:  быстрый
подбор:  подбор
сотрудник:  сотрудник
год:  год
профессия:  профессия
вводить:  вводить
счёт:  счёт
предприятие:  предприятие
дать:  дать
имущество:  имущество
списание:  списание
покупка:  покупка
законодательство:  законодательство
печать:  печать
добавление:  добавление
спецодежда:  спецодежда
система:  система
документ:  документ
тип:  тип
норма:  норма
происходить:  происходить
работа:  работа
отчёт:  отчёт
карта:  карта
приобрести:  приобрести
планирование:  планирование
консультация:  консультация
оформление:  оформление
спецобувь:  спецобувь
список:  список
протестировать:  протестировать
соответствие:  соответствие
отправить:  отправить
сизый:  сизый
закупка:  закупка
объединение:  объединение
окончание:  окончание
формировать:  формировать
совмещение:  совмещение
понедельник:  понедельник
помощь:  помощь
загрузка:  загрузка
оформляться:  оформляться
подразделение:  подразделение
позиция:  позиция
планировать:  планировать
ведение:  ведение
оказание:  оказание
всё:  всё
работать:  работать
очень:  очень
номенклатура:  номенклатура
отпуск:  отпуск
дата:  дата
обслуживание:  обслуживание
носка:  носка
кнопка:  кнопка
программа:  программа
мы:  мы
заявка:  заявка
перерасчёт:  перерасчёт
размер:  размер
время:  время
версия:  версия
