залежный:  залежный
але:  але
як:  як
персонал:  персонал
авто:  авто
продукт:  продукт
реклама:  реклама
не:  не
обратить:  обратить
ремонт:  ремонт
установить:  установить
русый:  русый
рок:  рок
система:  система
перервать:  перервать
будни:  будни
чи:  чи
вы:  вы
они:  они
медицина:  медицина
лихой:  лихой
ми:  ми
платформа:  платформа
центр:  центр
мы:  мы
партнёр:  партнёр
оптовый:  оптовый
закон:  закон
оперативный:  оперативный
покупка:  покупка
час:  час
або:  або
регулярный:  регулярный
