инструкция:  инструкция
создавать:  создавать
возможность:  возможность
документ:  документ
открывать:  открывать
редактор:  редактор
простой:  простой
производить:  производить
фрагмент:  фрагмент
преимущество:  преимущество
запускать:  запускать
закрыть:  закрыть
создать:  создать
выбор:  выбор
слово:  слово
сначала:  сначала
выделить:  выделить
всё:  всё
они:  они
пункт:  пункт
ещё:  ещё
вкладка:  вкладка
режим:  режим
язык:  язык
закрытие:  закрытие
описание:  описание
мб:  мб
подсказка:  подсказка
поддерживать:  поддерживать
код:  код
пара:  пара
инструмент:  инструмент
процесс:  процесс
набор:  набор
сайт:  сайт
нажать:  нажать
правильно:  правильно
скачать:  скачать
тестировать:  тестировать
формат:  формат
вернуться:  вернуться
поиск:  поиск
скрыть:  скрыть
цвета:  цвета
печать:  печать
выделять:  выделять
оставить:  оставить
сохранить:  сохранить
возникать:  возникать
инсталлятор:  инсталлятор
минус:  минус
изучение:  изучение
преобразовать:  преобразовать
шаг:  шаг
назад:  назад
версия:  версия
кодировка:  кодировка
аналог:  аналог
скачивать:  скачивать
программа:  программа
программист:  программист
вес:  вес
здесь:  здесь
настройка:  настройка
файл:  файл
сворачивание:  сворачивание
два:  два
несколько:  несколько
иногда:  иногда
закрытый:  закрытый
давать:  давать
установка:  установка
проверять:  проверять
использование:  использование
шифровать:  шифровать
привязка:  привязка
переместить:  переместить
принимать:  принимать
дописывать:  дописывать
всегда:  всегда
облегчение:  облегчение
буфер:  буфер
он:  он
место:  место
случай:  случай
учитывать:  учитывать
расчёт:  расчёт
совместно:  совместно
переключатель:  переключатель
запись:  запись
наиболее:  наиболее
символ:  символ
путь:  путь
начало:  начало
блокировать:  блокировать
история:  история
смена:  смена
быстрый:  быстрый
подсветка:  подсветка
перемещаться:  перемещаться
проговаривать:  проговаривать
интерфейс:  интерфейс
перенос:  перенос
обновление:  обновление
вставить:  вставить
разделение:  разделение
поддержка:  поддержка
плагин:  плагин
иметь:  иметь
встроить:  встроить
значок:  значок
подходить:  подходить
обозреватель:  обозреватель
написать:  написать
занимать:  занимать
количество:  количество
кликнуть:  кликнуть
сравнение:  сравнение
работать:  работать
работа:  работа
удалять:  удалять
много:  много
применимый:  применимый
править:  править
перетаскивание:  перетаскивание
тест:  тест
строка:  строка
вставка:  вставка
запутаться:  запутаться
ошибка:  ошибка
обилие:  обилие
затем:  затем
выбирать:  выбирать
удобно:  удобно
шифрование:  шифрование
тег:  тег
раскрыться:  раскрыться
вызов:  вызов
синтаксис:  синтаксис
вводить:  вводить
компьютер:  компьютер
запуск:  запуск
отзыв:  отзыв
подготовка:  подготовка
блокнот:  блокнот
вырезать:  вырезать
способ:  способ
основа:  основа
сравнивать:  сравнивать
отмена:  отмена
переводить:  переводить
можно:  можно
проверка:  проверка
подсчитать:  подсчитать
открыто:  открыто
оформление:  оформление
быть:  быть
различие:  различие
уменьшать:  уменьшать
управление:  управление
пользователь:  пользователь
функция:  функция
замена:  замена
помогать:  помогать
текст:  текст
помечать:  помечать
бесплатно:  бесплатно
скопировать:  скопировать
включить:  включить
настраиваться:  настраиваться
отступ:  отступ
выделение:  выделение
команда:  команда
редактировать:  редактировать
вывести:  вывести
вы:  вы
дополнение:  дополнение
существовать:  существовать
исправить:  исправить
определять:  определять
порядок:  порядок
вперёд:  вперёд
отсортировать:  отсортировать
панель:  панель
название:  название
макрос:  макрос
дожидаться:  дожидаться
появляться:  появляться
сохранять:  сохранять
стиль:  стиль
определение:  определение
перейти:  перейти
открыть:  открыть
операция:  операция
являться:  являться
производиться:  производиться
время:  время
разработать:  разработать
удаление:  удаление
добавлять:  добавлять
копировать:  копировать
спецсимвол:  спецсимвол
ряд:  ряд
экспорт:  экспорт
ярлык:  ярлык
доступно:  доступно
активация:  активация
необходимо:  необходимо
открытие:  открытие
придерживаться:  придерживаться
экспортировать:  экспортировать
вначале:  вначале
закачивать:  закачивать
окно:  окно
инсталляция:  инсталляция
система:  система
изменение:  изменение
требоваться:  требоваться
поставить:  поставить
очень:  очень
облегчать:  облегчать
подстроить:  подстроить
параметр:  параметр
ввести:  ввести
проблема:  проблема
подсчёт:  подсчёт
галочка:  галочка
конец:  конец
понятный:  понятный
размер:  размер
копирование:  копирование
сразу:  сразу
мастер:  мастер
избежание:  избежание
использовать:  использовать
авто:  авто
число:  число
список:  список
карта:  карта
часть:  часть
клавиша:  клавиша
далее:  далее
найти:  найти
недостаток:  недостаток
сохранение:  сохранение
обычно:  обычно
помощь:  помощь
выбрать:  выбрать
пользоваться:  пользоваться
окончание:  окончание
действие:  действие
посмотреть:  посмотреть
не:  не
освоение:  освоение
нужно:  нужно
сотня:  сотня
она:  она
себя:  себя
формирование:  формирование
клик:  клик
лицензия:  лицензия
плюс:  плюс
искать:  искать
обновить:  обновить
установить:  установить
курсор:  курсор
меню:  меню
восприятие:  восприятие
бесплатный:  бесплатный
позволять:  позволять
только:  только
автоматически:  автоматически
соглашение:  соглашение
январь:  январь
компонент:  компонент
