або:  або
персонал:  персонал
залежный:  залежный
платформа:  платформа
оптовый:  оптовый
перервать:  перервать
час:  час
ремонт:  ремонт
оперативный:  оперативный
але:  але
система:  система
установить:  установить
закон:  закон
центр:  центр
авто:  авто
покупка:  покупка
лихой:  лихой
они:  они
як:  як
будни:  будни
мы:  мы
не:  не
регулярный:  регулярный
рок:  рок
вы:  вы
ми:  ми
партнёр:  партнёр
продукт:  продукт
реклама:  реклама
русый:  русый
медицина:  медицина
чи:  чи
обратить:  обратить
