они:  они
макрос:  макрос
привязка:  привязка
вернуться:  вернуться
автоматически:  автоматически
размер:  размер
учитывать:  учитывать
закачивать:  закачивать
возможность:  возможность
вызов:  вызов
история:  история
подсветка:  подсветка
далее:  далее
закрыть:  закрыть
скопировать:  скопировать
раскрыться:  раскрыться
запускать:  запускать
команда:  команда
установка:  установка
открыть:  открыть
экспорт:  экспорт
понятный:  понятный
выбор:  выбор
выделить:  выделить
сохранять:  сохранять
определять:  определять
закрытие:  закрытие
помощь:  помощь
кодировка:  кодировка
вырезать:  вырезать
помечать:  помечать
скачивать:  скачивать
открыто:  открыто
всё:  всё
обилие:  обилие
иметь:  иметь
программа:  программа
обозреватель:  обозреватель
меню:  меню
работа:  работа
действие:  действие
сайт:  сайт
название:  название
здесь:  здесь
не:  не
создавать:  создавать
сравнивать:  сравнивать
версия:  версия
правильно:  правильно
несколько:  несколько
нажать:  нажать
выбрать:  выбрать
два:  два
сворачивание:  сворачивание
доступно:  доступно
удалять:  удалять
встроить:  встроить
создать:  создать
преимущество:  преимущество
затем:  затем
вначале:  вначале
управление:  управление
окно:  окно
текст:  текст
порядок:  порядок
январь:  январь
файл:  файл
слово:  слово
список:  список
цвета:  цвета
соглашение:  соглашение
формирование:  формирование
вес:  вес
обычно:  обычно
тег:  тег
преобразовать:  преобразовать
сотня:  сотня
мб:  мб
отсортировать:  отсортировать
бесплатно:  бесплатно
количество:  количество
смена:  смена
работать:  работать
фрагмент:  фрагмент
символ:  символ
копирование:  копирование
поиск:  поиск
облегчать:  облегчать
иногда:  иногда
авто:  авто
перенос:  перенос
ряд:  ряд
настройка:  настройка
плагин:  плагин
документ:  документ
изучение:  изучение
шифровать:  шифровать
обновить:  обновить
перетаскивание:  перетаскивание
выбирать:  выбирать
быстрый:  быстрый
вкладка:  вкладка
настраиваться:  настраиваться
подстроить:  подстроить
экспортировать:  экспортировать
сначала:  сначала
мастер:  мастер
производиться:  производиться
буфер:  буфер
сравнение:  сравнение
быть:  быть
избежание:  избежание
скачать:  скачать
бесплатный:  бесплатный
процесс:  процесс
клавиша:  клавиша
требоваться:  требоваться
тест:  тест
ярлык:  ярлык
искать:  искать
ошибка:  ошибка
дописывать:  дописывать
формат:  формат
перемещаться:  перемещаться
значок:  значок
включить:  включить
ещё:  ещё
случай:  случай
принимать:  принимать
компьютер:  компьютер
использовать:  использовать
подсчитать:  подсчитать
инсталляция:  инсталляция
запуск:  запуск
режим:  режим
выделение:  выделение
интерфейс:  интерфейс
часть:  часть
вперёд:  вперёд
окончание:  окончание
подсказка:  подсказка
назад:  назад
отзыв:  отзыв
число:  число
помогать:  помогать
изменение:  изменение
копировать:  копировать
уменьшать:  уменьшать
инсталлятор:  инсталлятор
функция:  функция
замена:  замена
шифрование:  шифрование
разработать:  разработать
строка:  строка
блокнот:  блокнот
использование:  использование
поддержка:  поддержка
язык:  язык
оставить:  оставить
всегда:  всегда
поставить:  поставить
придерживаться:  придерживаться
галочка:  галочка
позволять:  позволять
основа:  основа
существовать:  существовать
подсчёт:  подсчёт
начало:  начало
облегчение:  облегчение
система:  система
код:  код
скрыть:  скрыть
нужно:  нужно
сразу:  сразу
найти:  найти
вставить:  вставить
много:  много
аналог:  аналог
давать:  давать
вставка:  вставка
являться:  являться
компонент:  компонент
удобно:  удобно
исправить:  исправить
описание:  описание
инструмент:  инструмент
стиль:  стиль
сохранение:  сохранение
плюс:  плюс
она:  она
шаг:  шаг
клик:  клик
набор:  набор
он:  он
конец:  конец
подготовка:  подготовка
оформление:  оформление
открывать:  открывать
параметр:  параметр
спецсимвол:  спецсимвол
посмотреть:  посмотреть
инструкция:  инструкция
ввести:  ввести
синтаксис:  синтаксис
печать:  печать
недостаток:  недостаток
добавлять:  добавлять
проверять:  проверять
пользоваться:  пользоваться
проблема:  проблема
закрытый:  закрытый
место:  место
курсор:  курсор
редактор:  редактор
способ:  способ
запись:  запись
написать:  написать
время:  время
освоение:  освоение
появляться:  появляться
открытие:  открытие
вы:  вы
необходимо:  необходимо
возникать:  возникать
занимать:  занимать
расчёт:  расчёт
применимый:  применимый
себя:  себя
установить:  установить
перейти:  перейти
пользователь:  пользователь
удаление:  удаление
вводить:  вводить
переместить:  переместить
проверка:  проверка
только:  только
простой:  простой
выделять:  выделять
вывести:  вывести
производить:  производить
разделение:  разделение
дожидаться:  дожидаться
сохранить:  сохранить
проговаривать:  проговаривать
путь:  путь
очень:  очень
восприятие:  восприятие
определение:  определение
отмена:  отмена
можно:  можно
наиболее:  наиболее
дополнение:  дополнение
переключатель:  переключатель
пункт:  пункт
лицензия:  лицензия
активация:  активация
редактировать:  редактировать
панель:  панель
блокировать:  блокировать
править:  править
карта:  карта
запутаться:  запутаться
программист:  программист
обновление:  обновление
переводить:  переводить
операция:  операция
пара:  пара
отступ:  отступ
кликнуть:  кликнуть
подходить:  подходить
поддерживать:  поддерживать
совместно:  совместно
минус:  минус
тестировать:  тестировать
различие:  различие
