выявление:  выявление
выполнять:  выполнять
характеристика:  характеристика
территория:  территория
сырьё:  сырьё
оборудование:  оборудование
взять:  взять
время:  время
перейти:  перейти
сбор:  сбор
заказ:  заказ
ряд:  ряд
внедрение:  внедрение
корпус:  корпус
сигнал:  сигнал
вы:  вы
ориентироваться:  ориентироваться
участие:  участие
позволять:  позволять
подобрать:  подобрать
гарантированно:  гарантированно
зависимый:  зависимый
заявка:  заявка
изготовление:  изготовление
мы:  мы
вид:  вид
объект:  объект
содержимое:  содержимое
иметь:  иметь
сообщение:  сообщение
блокировка:  блокировка
подход:  подход
автоматически:  автоматически
система:  система
политика:  политика
изготавливать:  изготавливать
имя:  имя
увеличить:  увеличить
передача:  передача
автоматика:  автоматика
доставка:  доставка
область:  область
принять:  принять
качество:  качество
сертификат:  сертификат
осуществлять:  осуществлять
отклонение:  отклонение
работа:  работа
серия:  серия
компания:  компания
написать:  написать
асу:  асу
специалист:  специалист
производство:  производство
давать:  давать
никитин:  никитин
продукция:  продукция
идти:  идти
состояние:  состояние
шкаф:  шкаф
процесс:  процесс
день:  день
автоматизировать:  автоматизировать
неисправность:  неисправность
обслуживание:  обслуживание
выполнить:  выполнить
мониторинг:  мониторинг
вести:  вести
решить:  решить
издержка:  издержка
внедрять:  внедрять
автоматизация:  автоматизация
поддержка:  поддержка
персонал:  персонал
найти:  найти
сократить:  сократить
архивация:  архивация
не:  не
находить:  находить
получить:  получить
ход:  ход
повысить:  повысить
минимизировать:  минимизировать
сборка:  сборка
объём:  объём
диспетчеризация:  диспетчеризация
вместе:  вместе
вопрос:  вопрос
человек:  человек
снизить:  снизить
формат:  формат
организовать:  организовать
реагирование:  реагирование
контроль:  контроль
александр:  александр
расход:  расход
информация:  информация
фактор:  фактор
сервис:  сервис
проектирование:  проектирование
получать:  получать
вперёд:  вперёд
эффективность:  эффективность
компромисс:  компромисс
себя:  себя
разработать:  разработать
задача:  задача
необходимость:  необходимость
поставлять:  поставлять
выпускать:  выпускать
численность:  численность
склад:  склад
построить:  построить
работать:  работать
регулирование:  регулирование
устранимый:  устранимый
путь:  путь
россия:  россия
ооо:  ооо
остаться:  остаться
монтаж:  монтаж
стандарт:  стандарт
ситуация:  ситуация
технология:  технология
команда:  команда
готовый:  готовый
содержание:  содержание
всегда:  всегда
возможность:  возможность
управление:  управление
соответствие:  соответствие
влияние:  влияние
оптимально:  оптимально
